,Job,Program,ProgSkills,C,CPP,CS,Java,Python,JS,R,SQL,SAS,Excel,Tableau,Regression,Classification,Clustering,Bach_0to1,Bach_1to3,Bach_3to5,Bach_5Plus,Languages,Expert
45,1.0,MSIS,3,1,1,0.0,1,1.0,1.0,1.0,1.0,0.0,0,1,1.0,2,2,0,1,0,0,7.0,1
46,0.0,MSIS,4,1,1,1.0,1,1.0,1.0,0.0,1.0,0.0,1,1,1.0,2,2,0,1,0,0,7.0,1
47,0.0,MSIS,4,1,1,0.0,1,0.0,1.0,0.0,1.0,0.0,1,1,0.0,2,2,0,1,0,0,5.0,1
48,0.5,MSIS,4,1,1,0.0,1,1.0,0.0,0.0,1.0,0.0,1,1,0.0,1,1,0,0,1,0,5.0,1
49,1.0,MBA,3,1,1,0.0,0,1.0,0.0,0.0,1.0,0.0,1,0,0.0,2,1,0,0,0,1,4.0,1
50,0.5,MBA,3,0,0,0.0,1,1.0,1.0,1.0,1.0,1.0,1,1,1.0,3,3,0,1,0,0,6.0,1
51,0.0,MSIS,3,1,0,0.0,1,0.0,0.0,0.0,1.0,0.0,1,1,0.0,3,3,0,0,1,0,3.0,1
52,0.0,MSIS,4,1,1,0.0,1,0.0,1.0,0.0,1.0,0.0,1,1,0.0,2,2,0,0,1,0,5.0,1
53,0.5,MSIS,3,1,1,0.0,1,0.0,0.0,0.0,1.0,1.0,1,1,0.0,2,2,0,0,1,0,5.0,1
54,0.0,MSIS,2,0,0,0.0,1,1.0,1.0,1.0,1.0,0.0,1,1,1.0,1,1,0,0,1,0,5.0,1
55,0.5,MSIS,3,0,0,0.0,1,0.0,1.0,0.0,1.0,0.0,1,1,0.0,1,1,0,0,0,1,3.0,1
56,1.0,MBA,2,0,0,0.0,1,0.0,1.0,0.0,1.0,0.0,1,1,1.0,1,1,0,0,0,1,3.0,1
57,0.0,MSIS,4,1,0,0.0,1,0.0,0.0,0.0,,1.0,1,1,0.0,1,1,0,0,0,1,3.0,1
58,0.5,MSIS,3,0,1,0.0,1,0.0,0.0,0.0,1.0,0.0,1,1,1.0,1,1,0,0,0,1,3.0,1
59,0.0,MSIS,3,0,0,0.0,1,1.0,0.0,0.0,1.0,0.0,1,1,0.0,1,2,0,0,1,0,3.0,1
60,1.0,MBA,3,1,1,1.0,1,1.0,1.0,0.0,1.0,0.0,1,0,1.0,1,1,0,0,0,1,7.0,1
